term_str,n,n_chars,p,i,max_pos,n_pos,cat_pos,stop,stem_porter,stem_snowball,stem_lancaster
12,39,2,4.656132663964518e-05,14.390508309893994,CD,3,"{'CD', 'NN', 'NNP'}",0,12,12,12
120,5,3,5.969400851236562e-06,17.35398243386888,CD,1,{'CD'},0,120,120,120
1200,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1200,1200,1200
120a,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,120a,120a,120a
121,4,3,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,121,121,121
122,4,3,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,122,122,122
123,5,3,5.969400851236562e-06,17.35398243386888,CD,1,{'CD'},0,123,123,123
124,4,3,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,124,124,124
125,4,3,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,125,125,125
12500000,1,8,1.1938801702473122e-06,19.675910528756244,JJ,1,{'JJ'},0,12500000,12500000,12500000
126,4,3,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,126,126,126
12604,125,5,0.00014923502128091405,12.710126244094155,CD,1,{'CD'},0,12604,12604,12604
126a,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,126a,126a,126a
126b,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,126b,126b,126b
126bb,2,5,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,126bb,126bb,126bb
126c,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,126c,126c,126c
126d,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,126d,126d,126d
126e,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,126e,126e,126e
126f,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,126f,126f,126f
127,4,3,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,127,127,127
128,4,3,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,128,128,128
129,4,3,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,129,129,129
13,20,2,2.3877603404946247e-05,15.35398243386888,CD,1,{'CD'},0,13,13,13
130,6,3,7.163281021483874e-06,17.090948028035086,CD,1,{'CD'},0,130,130,130
131,4,3,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,131,131,131
131sthex,1,8,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,131sthex,131sthex,131sthex
132,4,3,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,132,132,132
132a,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,132a,132a,132a
132b,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,132b,132b,132b
132c,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,132c,132c,132c
132d,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,132d,132d,132d
133,2,3,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,133,133,133
134,3,3,3.581640510741937e-06,18.090948028035086,CD,1,{'CD'},0,134,134,134
135,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,135,135,135
136,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,136,136,136
137,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,137,137,137
138,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,138,138,138
139,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,139,139,139
13may,1,5,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,13may,13may,13may
13th,4,4,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,13th,13th,13th
13ths,1,5,1.1938801702473122e-06,19.675910528756244,NNS,1,{'NNS'},0,13th,13ths,13ths
14,116,2,0.00013849009974868822,12.817929533628671,CD,1,{'CD'},0,14,14,14
140,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,140,140,140
1407,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1407,1407,1407
141,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,141,141,141
142,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,142,142,142
143,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,143,143,143
144,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,144,144,144
145,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,145,145,145
146,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,146,146,146
14672,1,5,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,14672,14672,14672
147,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,147,147,147
149,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,149,149,149
14may,1,5,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,14may,14may,14may
14os,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,14o,14os,14os
14s,9,3,1.074492153222581e-05,16.505985527313932,CD,1,{'CD'},0,14,14s,14s
14th,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,14th,14th,14th
15,38,2,4.5367446469397864e-05,14.427983015312657,CD,2,"{'CD', 'NNP'}",0,15,15,15
150,2,3,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,150,150,150
151,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,151,151,151
152,3,3,3.581640510741937e-06,18.090948028035086,CD,1,{'CD'},0,152,152,152
159,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,159,159,159
15th,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,15th,15th,15th
16,29,2,3.4622524937172054e-05,14.817929533628671,CD,3,"{'CD', 'NN', 'NNP'}",0,16,16,16
160,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,160,160,160
1612,4,4,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,1612,1612,1612
1665,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1665,1665,1665
167,1,3,1.1938801702473122e-06,19.675910528756244,NN,1,{'NN'},0,167,167,167
16h25,1,5,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,16h25,16h25,16h25
16th,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,16th,16th,16th
16the,1,5,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,16the,16the,16the
17,35,2,4.178580595865593e-05,14.546627511811277,CD,4,"{'CD', 'NN', 'NNP', 'VBZ'}",0,17,17,17
1745,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1745,1745,1745
1763,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1763,1763,1763
179,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,179,179,179
1790,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1790,1790,1790
1791,4,4,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,1791,1791,1791
17th,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,17th,17th,17th
18,22,2,2.626536374544087e-05,15.216478910118946,CD,4,"{'CD', 'NN', 'NNP', 'VBZ'}",0,18,18,18
180,28,3,3.3428644766924746e-05,14.868555606698639,CD,2,"{'CD', 'NN'}",0,180,180,180
1800,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,1800,1800,1800
180s,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,180,180s,180s
183,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,183,183,183
186,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,186,186,186
187,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,187,187,187
1870,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1870,1870,1870
1872,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1872,1872,1872
1880s,1,5,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1880,1880s,1880s
18i,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,18i,18i,18i
18th,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,18th,18th,18th
19,20,2,2.3877603404946247e-05,15.35398243386888,CD,1,{'CD'},0,19,19,19
190,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,190,190,190
1907,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,1907,1907,1907
1909,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1909,1909,1909
1910,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1910,1910,1910
1914,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1914,1914,1914
1921,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1921,1921,1921
1925,3,4,3.581640510741937e-06,18.090948028035086,CD,1,{'CD'},0,1925,1925,1925
1928,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1928,1928,1928
1930,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1930,1930,1930
1931,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1931,1931,1931
1936,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1936,1936,1936
1937,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1937,1937,1937
1940s,1,5,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1940,1940s,1940s
1941,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1941,1941,1941
1944,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1944,1944,1944
1946,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1946,1946,1946
1947,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1947,1947,1947
1950,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,1950,1950,1950
1950s,2,5,2.3877603404946244e-06,18.675910528756244,NNP,2,"{'CD', 'NNP'}",0,1950,1950s,1950s
1951,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1951,1951,1951
1952,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1952,1952,1952
1953,4,4,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,1953,1953,1953
1957right,1,9,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1957right,1957right,1957right
1958,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1958,1958,1958
1960s,1,5,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1960,1960s,1960s
1963,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,1963,1963,1963
1965,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1965,1965,1965
1967,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1967,1967,1967
1968,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1968,1968,1968
1969,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1969,1969,1969
1970,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1970,1970,1970
1971,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,1971,1971,1971
1972,3,4,3.581640510741937e-06,18.090948028035086,CD,1,{'CD'},0,1972,1972,1972
1973,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1973,1973,1973
1974,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1974,1974,1974
1975,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,1975,1975,1975
1978,3,4,3.581640510741937e-06,18.090948028035086,CD,1,{'CD'},0,1978,1978,1978
1980,4,4,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,1980,1980,1980
1980s,1,5,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1980,1980s,1980s
1981,3,4,3.581640510741937e-06,18.090948028035086,CD,1,{'CD'},0,1981,1981,1981
1982,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1982,1982,1982
1983,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1983,1983,1983
1984,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,1984,1984,1984
1985,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,1985,1985,1985
1986,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,1986,1986,1986
1987,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1987,1987,1987
1988,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1988,1988,1988
1989,4,4,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,1989,1989,1989
1990,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1990,1990,1990
1991,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1991,1991,1991
1995,3,4,3.581640510741937e-06,18.090948028035086,CD,2,"{'CD', 'JJ'}",0,1995,1995,1995
1996,23,4,2.7459243915688184e-05,15.15234857269923,CD,1,{'CD'},0,1996,1996,1996
1997,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,1997,1997,1997
1998,3,4,3.581640510741937e-06,18.090948028035086,CD,1,{'CD'},0,1998,1998,1998
1999,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,1999,1999,1999
19th,3,4,3.581640510741937e-06,18.090948028035086,JJ,2,"{'CD', 'JJ'}",0,19th,19th,19th
1a,2,2,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,1a,1a,1a
1b,4,2,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,1b,1b,1b
1esitates,1,9,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1esit,1esit,1esitates
1i,1,2,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1i,1i,1i
1ining,1,6,1.1938801702473122e-06,19.675910528756244,VBG,1,{'VBG'},0,1ine,1ine,1ining
1m,1,2,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1m,1m,1m
1obn,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1obn,1obn,1obn
1os,1,3,1.1938801702473122e-06,19.675910528756244,NN,1,{'NN'},0,1o,1os,1os
1s,2,2,2.3877603404946244e-06,18.675910528756244,VBZ,2,"{'NNP', 'VBZ'}",0,1s,1s,1s
1st,3,3,3.581640510741937e-06,18.090948028035086,CD,1,{'CD'},0,1st,1st,1st
1t,1,2,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1t,1t,1t
1w,1,2,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1w,1w,1w
1where,1,6,1.1938801702473122e-06,19.675910528756244,EX,1,{'EX'},0,1where,1where,1where
2,119,1,0.00014207174025943016,12.7810927654483,NNP,5,"{'NN', 'VBD', 'NNP', 'VBZ', 'CD'}",0,2,2,2
20,22,2,2.626536374544087e-05,15.216478910118946,CD,2,"{'CD', 'NN'}",0,20,20,20
200,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,200,200,200
2000,3,4,3.581640510741937e-06,18.090948028035086,CD,1,{'CD'},0,2000,2000,2000
2001,1,4,1.1938801702473122e-06,19.675910528756244,NN,1,{'NN'},0,2001,2001,2001
2003,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,2003,2003,2003
2049,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,2049,2049,2049
206,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,206,206,206
20743,1,5,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,20743,20743,20743
20a,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,20a,20a,20a
20b,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,20b,20b,20b
20mm,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,20mm,20mm,20mm
20s,12,3,1.4326562042967747e-05,16.090948028035086,CD,3,"{'CD', 'NNP', 'POS'}",0,20,20s,20s
20th,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,20th,20th,20th
21,17,2,2.029596289420431e-05,15.588447687505903,CD,2,"{'CD', 'NNP'}",0,21,21,21
2124,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,2124,2124,2124
