term_str,n,n_chars,p,i,pos_group,n_pos
063522,1,6,4.232266802099204e-06,17.85013799151007,CD,1
0800,2,4,8.464533604198409e-06,16.85013799151007,CD,1
1,26,1,0.00011003893685457931,13.14969827336898,NNP,11
10,9,2,3.8090401218892836e-05,14.68021299006776,CD,4
10000,3,5,1.2696800406297614e-05,16.265175490788916,CD,1
11,2,2,8.464533604198409e-06,16.85013799151007,CD,1
12,1,2,4.232266802099204e-06,17.85013799151007,CD,3
13,1,2,4.232266802099204e-06,17.85013799151007,CD,1
130,1,3,4.232266802099204e-06,17.85013799151007,CD,1
13th,2,4,8.464533604198409e-06,16.85013799151007,CD,1
14,1,2,4.232266802099204e-06,17.85013799151007,CD,1
14th,1,4,4.232266802099204e-06,17.85013799151007,CD,1
15,1,2,4.232266802099204e-06,17.85013799151007,CD,2
15th,1,4,4.232266802099204e-06,17.85013799151007,CD,1
16,3,2,1.2696800406297614e-05,16.265175490788916,CD,3
160,1,3,4.232266802099204e-06,17.85013799151007,CD,1
16th,1,4,4.232266802099204e-06,17.85013799151007,CD,1
17,4,2,1.6929067208396817e-05,15.850137991510072,CD,4
1763,1,4,4.232266802099204e-06,17.85013799151007,CD,1
1790,1,4,4.232266802099204e-06,17.85013799151007,CD,1
1791,4,4,1.6929067208396817e-05,15.850137991510072,CD,1
17th,1,4,4.232266802099204e-06,17.85013799151007,CD,1
18,2,2,8.464533604198409e-06,16.85013799151007,CD,4
180,1,3,4.232266802099204e-06,17.85013799151007,CD,2
1800,2,4,8.464533604198409e-06,16.85013799151007,CD,1
180s,1,4,4.232266802099204e-06,17.85013799151007,CD,1
18th,1,4,4.232266802099204e-06,17.85013799151007,CD,1
19,5,2,2.1161334010496022e-05,15.52820989662271,CD,1
190,1,3,4.232266802099204e-06,17.85013799151007,CD,1
1925,1,4,4.232266802099204e-06,17.85013799151007,CD,1
1928,1,4,4.232266802099204e-06,17.85013799151007,CD,1
1931,1,4,4.232266802099204e-06,17.85013799151007,CD,1
1940s,1,5,4.232266802099204e-06,17.85013799151007,CD,1
1941,1,4,4.232266802099204e-06,17.85013799151007,CD,1
1963,1,4,4.232266802099204e-06,17.85013799151007,CD,1
1972,1,4,4.232266802099204e-06,17.85013799151007,CD,1
1978,1,4,4.232266802099204e-06,17.85013799151007,CD,1
1980,3,4,1.2696800406297614e-05,16.265175490788916,CD,1
1981,1,4,4.232266802099204e-06,17.85013799151007,CD,1
1989,4,4,1.6929067208396817e-05,15.850137991510072,CD,1
1990,1,4,4.232266802099204e-06,17.85013799151007,CD,1
1995,2,4,8.464533604198409e-06,16.85013799151007,CD,2
1997,1,4,4.232266802099204e-06,17.85013799151007,CD,1
1998,1,4,4.232266802099204e-06,17.85013799151007,CD,1
19th,3,4,1.2696800406297614e-05,16.265175490788916,JJ,2
1st,3,3,1.2696800406297614e-05,16.265175490788916,CD,1
2,24,1,0.00010157440325038091,13.265175490788916,NNP,5
20,2,2,8.464533604198409e-06,16.85013799151007,CD,2
20s,6,3,2.5393600812595227e-05,15.265175490788916,CD,3
20th,1,4,4.232266802099204e-06,17.85013799151007,CD,1
21,2,2,8.464533604198409e-06,16.85013799151007,CD,2
2134,1,4,4.232266802099204e-06,17.85013799151007,CD,1
21st,2,4,8.464533604198409e-06,16.85013799151007,CD,1
22,1,2,4.232266802099204e-06,17.85013799151007,CD,4
22nd,1,4,4.232266802099204e-06,17.85013799151007,CD,1
238,1,3,4.232266802099204e-06,17.85013799151007,CD,1
24,3,2,1.2696800406297614e-05,16.265175490788916,CD,1
25,2,2,8.464533604198409e-06,16.85013799151007,CD,1
250,1,3,4.232266802099204e-06,17.85013799151007,NNP,1
28,1,2,4.232266802099204e-06,17.85013799151007,CD,1
29,1,2,4.232266802099204e-06,17.85013799151007,CD,2
29th,2,4,8.464533604198409e-06,16.85013799151007,CD,1
2nd,8,3,3.3858134416793634e-05,14.850137991510072,CD,2
2s,1,2,4.232266802099204e-06,17.85013799151007,CD,2
3,18,1,7.618080243778567e-05,13.68021299006776,NNP,6
30,2,2,8.464533604198409e-06,16.85013799151007,CD,3
300,1,3,4.232266802099204e-06,17.85013799151007,NNP,2
30ish,1,5,4.232266802099204e-06,17.85013799151007,CD,1
30s,3,3,1.2696800406297614e-05,16.265175490788916,CD,2
31,2,2,8.464533604198409e-06,16.85013799151007,CD,2
34,1,2,4.232266802099204e-06,17.85013799151007,CD,1
35,3,2,1.2696800406297614e-05,16.265175490788916,CD,1
357,5,3,2.1161334010496022e-05,15.52820989662271,NN,2
36,2,2,8.464533604198409e-06,16.85013799151007,CD,2
38,1,2,4.232266802099204e-06,17.85013799151007,NN,2
386,1,3,4.232266802099204e-06,17.85013799151007,CD,1
3rd,2,3,8.464533604198409e-06,16.85013799151007,CD,1
4,7,1,2.962586761469443e-05,15.042783069452469,NNP,3
40,2,2,8.464533604198409e-06,16.85013799151007,CD,3
400,1,3,4.232266802099204e-06,17.85013799151007,CD,2
40s,7,3,2.962586761469443e-05,15.042783069452469,CD,3
4159,1,4,4.232266802099204e-06,17.85013799151007,CD,1
44,1,2,4.232266802099204e-06,17.85013799151007,NNP,4
45,3,2,1.2696800406297614e-05,16.265175490788916,CD,2
47,1,2,4.232266802099204e-06,17.85013799151007,CD,1
48,1,2,4.232266802099204e-06,17.85013799151007,CD,1
4th,1,3,4.232266802099204e-06,17.85013799151007,CD,1
5,5,1,2.1161334010496022e-05,15.52820989662271,NNP,4
509,1,3,4.232266802099204e-06,17.85013799151007,CD,1
50s,3,3,1.2696800406297614e-05,16.265175490788916,CD,2
53,2,2,8.464533604198409e-06,16.85013799151007,CD,2
545,1,3,4.232266802099204e-06,17.85013799151007,CD,1
5th,1,3,4.232266802099204e-06,17.85013799151007,CD,1
6,4,1,1.6929067208396817e-05,15.850137991510072,CD,3
600,1,3,4.232266802099204e-06,17.85013799151007,CD,1
60ish,1,5,4.232266802099204e-06,17.85013799151007,CD,1
60s,1,3,4.232266802099204e-06,17.85013799151007,CD,2
611,1,3,4.232266802099204e-06,17.85013799151007,CD,1
6th,1,3,4.232266802099204e-06,17.85013799151007,CD,1
7,4,1,1.6929067208396817e-05,15.850137991510072,CD,3
70,1,2,4.232266802099204e-06,17.85013799151007,CD,1
715,1,3,4.232266802099204e-06,17.85013799151007,CD,1
7274,1,4,4.232266802099204e-06,17.85013799151007,CD,1
747,2,3,8.464533604198409e-06,16.85013799151007,CD,1
79,1,2,4.232266802099204e-06,17.85013799151007,CD,1
7th,1,3,4.232266802099204e-06,17.85013799151007,CD,1
8,3,1,1.2696800406297614e-05,16.265175490788916,CD,2
80,1,2,4.232266802099204e-06,17.85013799151007,CD,1
800,2,3,8.464533604198409e-06,16.85013799151007,CD,1
83,1,2,4.232266802099204e-06,17.85013799151007,NN,2
85,1,2,4.232266802099204e-06,17.85013799151007,CD,1
878,1,3,4.232266802099204e-06,17.85013799151007,CD,1
8786,1,4,4.232266802099204e-06,17.85013799151007,CD,1
88,1,2,4.232266802099204e-06,17.85013799151007,NN,2
9,5,1,2.1161334010496022e-05,15.52820989662271,CD,1
90,3,2,1.2696800406297614e-05,16.265175490788916,CD,1
900,1,3,4.232266802099204e-06,17.85013799151007,CD,1
90s,1,3,4.232266802099204e-06,17.85013799151007,CD,2
91,1,2,4.232266802099204e-06,17.85013799151007,RB,2
911,1,3,4.232266802099204e-06,17.85013799151007,CD,1
940,1,3,4.232266802099204e-06,17.85013799151007,CD,1
95,1,2,4.232266802099204e-06,17.85013799151007,POS,2
96,1,2,4.232266802099204e-06,17.85013799151007,CD,1
97,1,2,4.232266802099204e-06,17.85013799151007,CD,1
a,5837,1,0.024703741323853057,5.339126638627833,DT,14
aaaaa,1,5,4.232266802099204e-06,17.85013799151007,NNP,1
aaaah,1,5,4.232266802099204e-06,17.85013799151007,NNP,1
aaargh,1,6,4.232266802099204e-06,17.85013799151007,NNP,1
aah,1,3,4.232266802099204e-06,17.85013799151007,NNP,2
aargh,1,5,4.232266802099204e-06,17.85013799151007,NNP,1
aback,4,5,1.6929067208396817e-05,15.850137991510072,RB,4
abandon,1,7,4.232266802099204e-06,17.85013799151007,VB,2
abandoned,5,9,2.1161334010496022e-05,15.52820989662271,VBN,5
abandonment,1,11,4.232266802099204e-06,17.85013799151007,NN,1
abdomen,4,7,1.6929067208396817e-05,15.850137991510072,NNS,2
abdominal,1,9,4.232266802099204e-06,17.85013799151007,JJ,1
abducted,1,8,4.232266802099204e-06,17.85013799151007,JJ,2
abdul,1,5,4.232266802099204e-06,17.85013799151007,NNP,1
abide,1,5,4.232266802099204e-06,17.85013799151007,VB,1
ability,2,7,8.464533604198409e-06,16.85013799151007,NN,2
abject,2,6,8.464533604198409e-06,16.85013799151007,JJ,3
ablaze,2,6,8.464533604198409e-06,16.85013799151007,NN,3
able,14,4,5.925173522938886e-05,14.042783069452469,JJ,2
abode,1,5,4.232266802099204e-06,17.85013799151007,NN,1
abomination,1,11,4.232266802099204e-06,17.85013799151007,NN,1
abound,1,6,4.232266802099204e-06,17.85013799151007,NN,2
about,385,5,0.0016294227188081937,9.261423355927809,IN,10
above,106,5,0.00044862028102251564,11.122217536946874,IN,9
abrasions,1,9,4.232266802099204e-06,17.85013799151007,NNS,1
abrupt,1,6,4.232266802099204e-06,17.85013799151007,JJ,1
abruptly,11,8,4.6554934823091246e-05,14.390706372872774,RB,3
abruptness,1,10,4.232266802099204e-06,17.85013799151007,NN,1
abs,2,3,8.464533604198409e-06,16.85013799151007,VBZ,2
absently,3,8,1.2696800406297614e-05,16.265175490788916,RB,3
absentmindedly,1,14,4.232266802099204e-06,17.85013799151007,RB,1
absinthe,3,8,1.2696800406297614e-05,16.265175490788916,RP,3
absolutely,6,10,2.5393600812595227e-05,15.265175490788916,RB,3
absorbed,2,8,8.464533604198409e-06,16.85013799151007,VBN,2
absorbing,3,9,1.2696800406297614e-05,16.265175490788916,VBG,1
absorbs,1,7,4.232266802099204e-06,17.85013799151007,VBZ,1
abstract,2,8,8.464533604198409e-06,16.85013799151007,JJ,2
absurd,1,6,4.232266802099204e-06,17.85013799151007,NN,2
abundant,1,8,4.232266802099204e-06,17.85013799151007,NN,1
abundantly,1,10,4.232266802099204e-06,17.85013799151007,RB,1
abuse,2,5,8.464533604198409e-06,16.85013799151007,NN,2
academic,1,8,4.232266802099204e-06,17.85013799151007,JJ,1
academy,8,7,3.3858134416793634e-05,14.850137991510072,NNP,2
accelerate,1,10,4.232266802099204e-06,17.85013799151007,VB,4
accent,8,6,3.3858134416793634e-05,14.850137991510072,NN,3
accented,1,8,4.232266802099204e-06,17.85013799151007,VBN,1
accept,7,6,2.962586761469443e-05,15.042783069452469,VB,5
acceptance,1,10,4.232266802099204e-06,17.85013799151007,NN,1
accepted,3,8,1.2696800406297614e-05,16.265175490788916,VBZ,4
accepting,1,9,4.232266802099204e-06,17.85013799151007,VBG,1
accepts,1,7,4.232266802099204e-06,17.85013799151007,VBZ,1
access,6,6,2.5393600812595227e-05,15.265175490788916,NN,3
accessaries,1,11,4.232266802099204e-06,17.85013799151007,NN,1
accident,12,8,5.0787201625190454e-05,14.265175490788916,NN,5
accidentally,7,12,2.962586761469443e-05,15.042783069452469,RB,3
accidents,1,9,4.232266802099204e-06,17.85013799151007,NNS,2
accompanied,8,11,3.3858134416793634e-05,14.850137991510072,VBN,3
accompanies,1,11,4.232266802099204e-06,17.85013799151007,NNS,2
accompanying,1,12,4.232266802099204e-06,17.85013799151007,VBG,1
according,6,9,2.5393600812595227e-05,15.265175490788916,VBG,1
account,3,7,1.2696800406297614e-05,16.265175490788916,NN,2
accountants,1,11,4.232266802099204e-06,17.85013799151007,NN,1
accumulates,1,11,4.232266802099204e-06,17.85013799151007,VBZ,1
accurate,3,8,1.2696800406297614e-05,16.265175490788916,JJ,3
accursed,1,8,4.232266802099204e-06,17.85013799151007,NNP,3
accuse,2,6,8.464533604198409e-06,16.85013799151007,VB,1
accused,1,7,4.232266802099204e-06,17.85013799151007,VBN,1
accuser,1,7,4.232266802099204e-06,17.85013799151007,NN,1
accusingly,3,10,1.2696800406297614e-05,16.265175490788916,RB,3
accustomed,1,10,4.232266802099204e-06,17.85013799151007,VBD,2
aces,1,4,4.232266802099204e-06,17.85013799151007,NN,1
acherontia,1,10,4.232266802099204e-06,17.85013799151007,NNP,1
achieve,1,7,4.232266802099204e-06,17.85013799151007,VB,1
achievement,1,11,4.232266802099204e-06,17.85013799151007,NN,1
aching,1,6,4.232266802099204e-06,17.85013799151007,VBG,1
acid,5,4,2.1161334010496022e-05,15.52820989662271,NN,5
acknowledge,1,11,4.232266802099204e-06,17.85013799151007,VBD,4
acknowledged,1,12,4.232266802099204e-06,17.85013799151007,VBN,1
acknowledges,2,12,8.464533604198409e-06,16.85013799151007,VBZ,1
acknowledging,1,13,4.232266802099204e-06,17.85013799151007,VBG,1
acknowledgment,1,14,4.232266802099204e-06,17.85013799151007,NN,1
acne,1,4,4.232266802099204e-06,17.85013799151007,NN,1
acropolis,2,9,8.464533604198409e-06,16.85013799151007,NNP,1
across,230,6,0.000973421364482817,10.004647940565697,IN,7
act,20,3,8.464533604198409e-05,13.52820989662271,NN,5
acted,1,5,4.232266802099204e-06,17.85013799151007,VBD,3
acting,4,6,1.6929067208396817e-05,15.850137991510072,VBG,2
action,11,6,4.6554934823091246e-05,14.390706372872774,NN,4
actions,1,7,4.232266802099204e-06,17.85013799151007,NN,2
activated,2,9,8.464533604198409e-06,16.85013799151007,JJ,4
active,2,6,8.464533604198409e-06,16.85013799151007,JJ,1
activities,1,10,4.232266802099204e-06,17.85013799151007,NNS,2
activity,4,8,1.6929067208396817e-05,15.850137991510072,NN,3
actors,3,6,1.2696800406297614e-05,16.265175490788916,NNS,4
actual,3,6,1.2696800406297614e-05,16.265175490788916,JJ,3
actually,39,8,0.00016505840528186898,12.564735772647824,RB,4
acute,5,5,2.1161334010496022e-05,15.52820989662271,JJ,4
ad,4,2,1.6929067208396817e-05,15.850137991510072,NN,3
adam,1,4,4.232266802099204e-06,17.85013799151007,NNP,7
adamant,1,7,4.232266802099204e-06,17.85013799151007,NN,1
adamantly,1,9,4.232266802099204e-06,17.85013799151007,NNP,2
add,3,3,1.2696800406297614e-05,16.265175490788916,VB,2
addicts,2,7,8.464533604198409e-06,16.85013799151007,NNP,2
adding,2,6,8.464533604198409e-06,16.85013799151007,VBG,4
addition,2,8,8.464533604198409e-06,16.85013799151007,NN,1
additional,2,10,8.464533604198409e-06,16.85013799151007,JJ,2
address,6,7,2.5393600812595227e-05,15.265175490788916,NN,4
addressee,1,9,4.232266802099204e-06,17.85013799151007,NN,1
addresses,7,9,2.962586761469443e-05,15.042783069452469,VBZ,3
adds,1,4,4.232266802099204e-06,17.85013799151007,VBZ,1
adjacent,8,8,3.3858134416793634e-05,14.850137991510072,JJ,5
adjoining,3,9,1.2696800406297614e-05,16.265175490788916,VBG,2
adjust,1,6,4.232266802099204e-06,17.85013799151007,NNP,4
adjusted,1,8,4.232266802099204e-06,17.85013799151007,VBD,3
adjusting,3,9,1.2696800406297614e-05,16.265175490788916,VBG,3
adjustment,1,10,4.232266802099204e-06,17.85013799151007,NN,1
adjustments,1,11,4.232266802099204e-06,17.85013799151007,NN,2
adjusts,7,7,2.962586761469443e-05,15.042783069452469,VBZ,2
administered,2,12,8.464533604198409e-06,16.85013799151007,VBD,2
administration,1,14,4.232266802099204e-06,17.85013799151007,NN,3
administrator,5,13,2.1161334010496022e-05,15.52820989662271,NN,2
admiring,1,8,4.232266802099204e-06,17.85013799151007,VBG,2
admiringly,1,10,4.232266802099204e-06,17.85013799151007,NN,1
admit,2,5,8.464533604198409e-06,16.85013799151007,VB,4
admits,2,6,8.464533604198409e-06,16.85013799151007,VBZ,1
admittance,3,10,1.2696800406297614e-05,16.265175490788916,NNP,2
adolescent,1,10,4.232266802099204e-06,17.85013799151007,NN,1
adore,1,5,4.232266802099204e-06,17.85013799151007,VBP,1
adorned,2,7,8.464533604198409e-06,16.85013799151007,VBD,2
adornments,1,10,4.232266802099204e-06,17.85013799151007,NN,1
adrenaline,2,10,8.464533604198409e-06,16.85013799151007,NN,4
adult,15,5,6.348400203148806e-05,13.943247395901555,NN,2
adults,6,6,2.5393600812595227e-05,15.265175490788916,NNS,3
advance,1,7,4.232266802099204e-06,17.85013799151007,JJ,5
advanced,1,8,4.232266802099204e-06,17.85013799151007,JJ,3
advancement,1,11,4.232266802099204e-06,17.85013799151007,NNP,1
advances,9,8,3.8090401218892836e-05,14.68021299006776,VBZ,7
advancing,3,9,1.2696800406297614e-05,16.265175490788916,VBG,3
advantage,1,9,4.232266802099204e-06,17.85013799151007,NN,1
adventure,2,9,8.464533604198409e-06,16.85013799151007,NN,3
adventurer,2,10,8.464533604198409e-06,16.85013799151007,NN,1
advice,2,6,8.464533604198409e-06,16.85013799151007,NN,1
aerial,1,6,4.232266802099204e-06,17.85013799151007,NNP,1
aerosol,1,7,4.232266802099204e-06,17.85013799151007,NN,2
aesthetes,1,9,4.232266802099204e-06,17.85013799151007,RB,1
afar,1,4,4.232266802099204e-06,17.85013799151007,NN,2
affair,3,6,1.2696800406297614e-05,16.265175490788916,NN,1
affected,3,8,1.2696800406297614e-05,16.265175490788916,NN,3
affection,4,9,1.6929067208396817e-05,15.850137991510072,NN,2
affectionately,1,14,4.232266802099204e-06,17.85013799151007,NN,1
affects,2,7,8.464533604198409e-06,16.85013799151007,VBZ,2
affidavit,1,9,4.232266802099204e-06,17.85013799151007,NN,1
affiliations,1,12,4.232266802099204e-06,17.85013799151007,NNS,1
affirm,1,6,4.232266802099204e-06,17.85013799151007,NN,1
afford,1,6,4.232266802099204e-06,17.85013799151007,RB,2
afire,1,5,4.232266802099204e-06,17.85013799151007,JJ,2
aflame,1,6,4.232266802099204e-06,17.85013799151007,NN,3
afraid,34,6,0.00014389707127137295,12.762675150259733,VBD,11
afraidhes,1,9,4.232266802099204e-06,17.85013799151007,NN,1
africa,1,6,4.232266802099204e-06,17.85013799151007,NNP,1
african,3,7,1.2696800406297614e-05,16.265175490788916,NNP,2
after,185,5,0.0007829693583883529,10.31875653099376,IN,12
afterlife,2,9,8.464533604198409e-06,16.85013799151007,NN,1
aftermath,2,9,8.464533604198409e-06,16.85013799151007,VBZ,2
afternoon,17,9,7.194853563568648e-05,13.762675150259733,NN,5
afterthought,1,12,4.232266802099204e-06,17.85013799151007,NN,1
afterwards,4,10,1.6929067208396817e-05,15.850137991510072,IN,4
again,322,5,0.0013627899102759437,9.519221113395455,NN,12
againcasey,1,10,4.232266802099204e-06,17.85013799151007,JJ,1
againjust,1,9,4.232266802099204e-06,17.85013799151007,VBP,1
against,142,7,0.000600981885898087,10.700390872005391,IN,3
