term_str,n,n_chars,p,i,pos_group,n_pos
0,23,1,5.546044223674375e-05,14.13818135408875,CD,3
000,1,3,2.4113235755105976e-06,18.661743310145763,CD,1
003559,1,6,2.4113235755105976e-06,18.661743310145763,CD,1
01,1,2,2.4113235755105976e-06,18.661743310145763,CD,1
01s,3,3,7.233970726531793e-06,17.076780809424605,NNP,1
02,1,2,2.4113235755105976e-06,18.661743310145763,CD,1
03,1,2,2.4113235755105976e-06,18.661743310145763,CD,1
05,1,2,2.4113235755105976e-06,18.661743310145763,VBD,1
05h40,1,5,2.4113235755105976e-06,18.661743310145763,CD,1
0672,1,4,2.4113235755105976e-06,18.661743310145763,CD,1
09,1,2,2.4113235755105976e-06,18.661743310145763,CD,1
0952,1,4,2.4113235755105976e-06,18.661743310145763,CD,1
0h,1,2,2.4113235755105976e-06,18.661743310145763,CD,1
0mv,1,3,2.4113235755105976e-06,18.661743310145763,CD,1
0s,2,2,4.822647151021195e-06,17.661743310145763,NNP,2
0wen,1,4,2.4113235755105976e-06,18.661743310145763,CD,1
1,88,1,0.0002121964746449326,12.202311691508466,CD,11
10,22,2,5.304911866123315e-05,14.202311691508466,CD,4
100,13,3,3.1347206481637774e-05,14.96130359200467,CD,2
100000,1,6,2.4113235755105976e-06,18.661743310145763,CD,1
100110120,1,9,2.4113235755105976e-06,18.661743310145763,CD,1
1004,2,4,4.822647151021195e-06,17.661743310145763,CD,1
100a,2,4,4.822647151021195e-06,17.661743310145763,CD,1
101,9,3,2.170191217959538e-05,15.49181830870345,CD,1
102,6,3,1.4467941453063586e-05,16.076780809424605,CD,1
103,6,3,1.4467941453063586e-05,16.076780809424605,CD,1
104,7,3,1.6879265028574186e-05,15.854388388088159,CD,1
105,7,3,1.6879265028574186e-05,15.854388388088159,CD,1
106,6,3,1.4467941453063586e-05,16.076780809424605,CD,1
106a,2,4,4.822647151021195e-06,17.661743310145763,CD,1
107,6,3,1.4467941453063586e-05,16.076780809424605,CD,1
108,5,3,1.2056617877552988e-05,16.3398152152584,CD,1
109,4,3,9.64529430204239e-06,16.661743310145763,CD,1
109a,2,4,4.822647151021195e-06,17.661743310145763,CD,1
10th,5,4,1.2056617877552988e-05,16.3398152152584,CD,1
11,15,2,3.616985363265897e-05,14.754852714537245,CD,1
110,5,3,1.2056617877552988e-05,16.3398152152584,CD,1
110a,2,4,4.822647151021195e-06,17.661743310145763,CD,1
110b,2,4,4.822647151021195e-06,17.661743310145763,CD,1
111,3,3,7.233970726531793e-06,17.076780809424605,CD,1
112,3,3,7.233970726531793e-06,17.076780809424605,CD,1
113,4,3,9.64529430204239e-06,16.661743310145763,CD,1
1130,1,4,2.4113235755105976e-06,18.661743310145763,CD,1
114,4,3,9.64529430204239e-06,16.661743310145763,CD,1
115,3,3,7.233970726531793e-06,17.076780809424605,CD,1
115a,2,4,4.822647151021195e-06,17.661743310145763,CD,1
115b,2,4,4.822647151021195e-06,17.661743310145763,CD,1
116,3,3,7.233970726531793e-06,17.076780809424605,CD,1
116a,2,4,4.822647151021195e-06,17.661743310145763,CD,1
117,3,3,7.233970726531793e-06,17.076780809424605,CD,1
118,2,3,4.822647151021195e-06,17.661743310145763,CD,1
118a,2,4,4.822647151021195e-06,17.661743310145763,CD,1
119,3,3,7.233970726531793e-06,17.076780809424605,CD,1
